,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
435,Lompoc,US,34.64,-120.46,16.84,82,20,2.41
436,Tezu,IN,27.93,96.16,21.12,98,92,0.26
437,Khandyga,RU,62.65,135.58,20.82,68,36,1.31
438,Hashtrud,IR,37.48,47.05,28.72,17,0,2.66
439,Roura,GF,4.73,-52.33,29.0,79,75,2.6
440,Puerto Escondido,MX,15.86,-97.07,25.0,73,75,2.1
441,Cockburn Town,BS,24.03,-74.52,29.17,88,0,6.66
442,Margate,ZA,-30.86,30.37,18.62,97,36,4.31
443,Ajdabiya,LY,30.75,20.22,31.87,41,0,9.06
444,Namibe,AO,-15.19,12.15,23.87,89,0,1.96
445,Chase,CA,50.82,-119.69,13.0,82,20,1.0
446,Lohardaga,IN,23.43,84.68,29.0,74,40,1.5
447,Ust-Kuyga,RU,70.0,135.55,9.27,96,68,4.71
448,Husavik,IS,66.04,-17.34,13.0,58,20,8.7
449,Caconda,AO,-13.73,15.06,22.72,30,88,1.66
450,Henties Bay,NA,-22.12,14.28,25.67,43,68,1.96
451,High Level,CA,58.52,-117.13,9.0,87,75,2.6
452,Baghdad,IQ,33.3,44.38,44.0,12,0,5.1
453,Half Moon Bay,US,37.46,-122.43,15.8,72,1,4.31
454,Okmulgee,US,35.62,-95.96,26.25,78,1,3.6
455,Houston,CA,54.4,-126.65,9.0,93,40,1.0
456,Thinadhoo,MV,0.53,72.93,29.32,100,92,5.01
457,Nueva Helvecia,UY,-34.28,-57.23,11.0,87,20,7.2
458,Price,US,39.6,-110.81,23.0,38,1,2.1
459,Quatre Cocos,MU,-20.21,57.76,23.0,69,75,3.6
460,Tagusao,PH,9.19,117.81,26.82,95,64,3.51
461,Okhotsk,RU,59.36,143.24,12.22,90,44,0.96
462,Biloela,AU,-24.4,150.51,6.57,68,0,5.16
463,Bathsheba,BB,13.22,-59.52,27.0,83,75,7.2
464,Muravlenko,RU,63.79,74.5,18.87,96,76,5.56
465,Udachnyy,RU,66.42,112.4,8.17,81,92,1.21
466,San Andres,CO,8.22,-76.58,30.0,79,40,4.1
467,Canutama,BR,-6.53,-64.38,31.32,56,0,1.46
468,Talaya,RU,55.79,84.89,16.87,56,0,4.66
469,Brigantine,US,39.41,-74.36,23.24,53,1,4.6
470,Den Helder,NL,52.96,4.76,19.28,52,0,5.1
471,Abasolo,MX,20.45,-101.53,18.0,77,75,3.1
472,Lar,IR,27.66,54.32,44.0,11,0,4.1
473,Umarkot,IN,19.67,82.22,23.67,94,80,3.66
474,Laela,TZ,-8.57,32.05,20.82,46,92,3.76
475,Melendugno,IT,40.27,18.34,27.3,57,0,8.7
476,Kieta,PG,-6.22,155.63,24.02,100,92,1.51
477,Dire Dawa,ET,9.59,41.86,30.0,42,75,6.2
478,El Sauzal,MX,18.18,-95.22,24.0,94,90,2.21
479,Wokha,IN,26.1,94.25,25.57,94,36,1.16
480,Kota Tinggi,MY,1.73,103.9,28.66,74,75,3.6
481,Sirnak,TR,37.52,42.46,26.97,16,0,1.06
482,Coahuayana,MX,18.62,-100.35,20.17,88,44,0.71
483,Baijiantan,CN,45.63,85.18,30.12,21,76,3.01
484,Esso,RU,55.93,158.7,0.77,84,32,0.91
485,Rust,AT,47.8,16.68,25.01,44,75,3.6
486,Sharjah,AE,25.36,55.39,37.99,45,0,4.6
487,Moreni,RO,44.98,25.65,25.49,61,20,3.1
488,Katangli,RU,51.71,143.23,10.87,80,0,2.66
489,Foix,FR,42.97,1.61,32.0,29,0,5.7
490,Portel,BR,-1.94,-50.82,29.17,81,20,2.11
491,Sorong,ID,-0.86,131.25,26.87,100,64,7.56
492,Baykit,RU,61.68,96.39,11.07,74,0,1.56
493,Aleppo,SY,36.2,37.17,34.37,27,0,6.11
494,George Town,KY,19.29,-81.37,30.0,74,40,4.6
495,Talcahuano,CL,-36.72,-73.12,10.0,76,0,4.6
496,Kropotkin,RU,45.43,40.58,33.17,24,0,2.06
497,Rosetta,EG,31.4,30.42,31.0,55,0,5.1
498,Peniche,PT,39.36,-9.38,25.02,64,0,4.1
499,Saryg-Sep,RU,51.49,95.55,9.97,51,0,2.41
500,Churapcha,RU,62.0,132.43,22.32,77,12,1.06
501,Anloga,GH,5.79,0.9,28.0,78,20,7.7
502,Rubiataba,BR,-15.16,-49.8,30.32,39,0,3.11
503,Mandali,IQ,33.75,45.55,40.72,12,0,3.96
504,Manitowoc,US,44.09,-87.66,23.0,49,1,4.6
505,Vallenar,CL,-28.58,-70.76,17.52,51,0,0.96
506,Placer,PH,9.65,125.6,28.97,92,56,5.46
507,Itarema,BR,-2.92,-39.92,30.07,72,20,5.71
508,General Pico,AR,-35.66,-63.75,8.42,88,68,3.76
509,Otradnoye,RU,59.77,30.8,17.0,77,90,3.0
510,Jackville,CI,5.21,-4.42,28.0,78,75,5.1
511,Dumai,ID,1.68,101.45,26.32,87,32,0.76
512,Pychas,RU,56.5,52.44,25.02,53,80,1.81
513,Alcudia,ES,39.85,3.12,31.0,58,20,7.2
514,Xichang,CN,27.88,102.25,16.37,100,92,0.66
515,Matamoros,MX,25.53,-103.23,23.0,69,5,4.01
516,Vuktyl,RU,63.86,57.31,22.67,61,76,1.31
517,Vila Franca do Campo,PT,37.72,-25.43,23.0,73,20,4.1
518,Along,IN,28.17,94.8,23.02,94,92,0.76
519,Beira,MZ,-19.84,34.84,22.0,88,75,4.86
520,Nang Rong,TH,14.64,102.79,26.0,78,92,1.5
521,Sangar,RU,63.92,127.47,22.17,34,0,2.51
522,Sioux Lookout,CA,50.1,-91.92,23.43,88,90,2.1
523,Hobyo,SO,5.35,48.53,28.17,63,64,10.41
524,La Ronge,CA,55.1,-105.3,13.0,71,20,6.7
525,Sakaiminato,JP,35.55,133.23,22.0,94,90,1.5
526,Maldonado,UY,-34.91,-54.96,13.0,76,90,7.7
527,Garmsar,IR,35.22,52.34,34.72,11,0,1.01
528,Aqtobe,KZ,50.28,57.21,32.0,27,0,6.0
529,Lavrentiya,RU,65.58,-170.99,4.57,100,88,14.26
530,Tautira,PF,-17.73,-149.15,25.0,78,48,1.5
531,Mizdah,LY,31.45,12.98,38.77,20,0,3.46
532,Caiaponia,BR,-16.96,-51.81,30.47,32,8,2.01
533,Gigmoto,PH,13.78,124.39,25.87,100,88,1.41
534,Verkhnechusovskiye Gorodki,RU,58.17,57.11,20.22,84,20,2.86
535,Ballina,IE,54.11,-9.15,20.0,72,75,1.5
536,Touros,BR,-5.2,-35.46,26.37,97,20,7.46
537,Quibdo,CO,5.69,-76.66,26.0,94,75,2.6
538,Sawtell,AU,-30.38,153.1,11.0,57,0,3.6
539,Balikpapan,ID,-1.24,116.86,28.0,83,75,4.1
540,Springdale,CA,49.5,-56.06,17.02,56,8,9.06
541,Richards Bay,ZA,-28.77,32.06,17.37,96,76,1.41
542,Makat,KZ,47.65,53.35,33.72,23,0,4.66
543,Vetapalem,IN,15.78,80.32,29.77,86,68,6.06
544,Leczyca,PL,52.06,19.2,26.0,41,0,4.6
545,Craigieburn,AU,-37.6,144.94,8.68,87,0,5.1
546,Lansing,US,42.73,-84.56,23.11,53,1,3.1
547,Monywa,MM,22.12,95.13,25.27,93,92,2.51
548,Koslan,RU,63.46,48.9,20.37,81,48,2.51
549,Emerald,AU,-23.53,148.16,7.72,58,0,4.21
550,Huarmey,PE,-10.07,-78.15,19.12,67,8,1.61
551,Mandal,IN,25.44,74.57,29.67,68,64,2.76
552,Shu,KZ,43.6,73.76,31.37,20,0,4.96
553,Benghazi,LY,32.12,20.07,29.0,62,0,10.3
554,Havre-Saint-Pierre,CA,50.23,-63.6,16.0,77,75,5.7
555,Helsingborg,SE,56.05,12.69,24.22,73,0,4.6
556,Adelaide,AU,-34.93,138.6,13.0,66,75,3.6
557,Bar Harbor,US,44.39,-68.2,23.0,60,1,3.1
558,Brownsville,US,25.91,-97.49,27.24,88,1,3.1
559,Lianzhou,CN,24.79,112.38,21.77,96,44,0.86
560,Tromso,NO,69.65,18.96,15.0,58,0,3.1
561,Sauk Rapids,US,45.59,-94.17,24.63,69,1,5.1
562,Ampanihy,MG,-24.69,44.75,22.27,53,0,6.96
563,Padang,ID,-0.92,100.36,25.92,100,12,1.06
564,Nabire,ID,-3.36,135.5,19.97,98,92,0.81
565,Shelburne,CA,44.08,-80.2,23.96,41,20,5.1
566,Pacific Grove,US,36.62,-121.92,13.32,87,1,1.76
567,Ulaangom,MN,49.98,92.07,13.62,42,92,0.76
568,Xuanwu,CN,32.07,118.81,28.0,88,90,3.0
569,Valdivia,CL,-39.81,-73.25,6.0,100,75,1.0
570,Port Macquarie,AU,-31.43,152.91,11.0,57,0,2.1
571,Uglovskoye,RU,51.36,80.19,21.32,44,0,3.66
572,Umm Lajj,SA,25.02,37.27,35.17,50,0,3.86
573,Ariquemes,BR,-9.91,-63.03,33.92,28,0,1.36
574,Samoded,RU,63.61,40.52,20.12,73,44,4.36
575,Santo Antonio do Monte,BR,-20.09,-45.29,27.32,41,0,2.21
576,Takhtamygda,RU,54.1,123.57,19.17,58,92,3.86
577,Ranau,MY,5.95,116.67,23.77,70,88,0.16
578,Eureka,US,40.8,-124.16,13.0,100,90,0.31
579,Katherine,AU,-14.47,132.26,14.0,62,0,3.1
580,Morro Bay,US,35.37,-120.85,17.29,63,1,1.51
581,Sao Filipe,CV,14.9,-24.5,26.02,89,0,1.16
582,Dhali,IN,10.5,77.17,25.0,78,75,4.1
583,Kidal,ML,18.44,1.41,40.52,18,0,2.76
584,Kanniyakumari,IN,8.08,77.57,26.57,100,76,10.61
585,Lufilufi,WS,-13.87,-171.6,27.02,100,88,9.06
586,Maltahohe,NA,-24.83,16.98,18.62,29,0,4.06
587,Arlit,NE,18.74,7.39,41.02,19,0,0.66
588,Chapais,CA,49.78,-74.86,20.0,52,75,7.7
589,Sobolevo,RU,54.43,31.9,20.12,78,44,5.11
590,Baracoa,CU,20.35,-74.5,28.02,95,100,7.61
591,Kasongo,CD,-4.43,26.67,34.42,21,0,1.71
592,Vitim,RU,59.44,112.57,12.57,99,80,2.26
593,Snyder,US,32.72,-100.92,25.55,65,1,2.41
594,Maun,BW,-19.99,23.42,22.0,43,75,3.6
595,Launceston,AU,-41.43,147.14,4.0,69,0,3.1
596,Madera,MX,29.2,-108.14,19.27,83,0,1.06
597,Elk Plain,US,47.04,-122.37,13.37,100,1,1.31
598,Litovko,RU,49.24,135.18,14.92,87,24,0.96
599,Southbridge,NZ,-43.81,172.25,6.0,81,20,1.5
600,Matagami,CA,49.76,-77.63,18.0,72,75,6.7
601,Bowen,AU,-20.01,148.25,9.0,93,0,2.6
602,Simplicio Mendes,BR,-7.85,-41.91,31.37,39,12,5.21
603,Manggar,ID,-2.88,108.27,28.27,79,80,4.81
604,Bandar,ID,-4.2,104.14,30.52,49,92,4.81
605,Sechura,PE,-5.56,-80.82,19.57,90,20,4.61
606,Maningrida,AU,-12.05,134.23,23.07,73,32,7.96
607,Merzig,DE,49.44,6.64,25.79,31,0,5.1
608,Terrace Bay,CA,48.78,-87.1,16.0,77,90,2.1
609,Morant Bay,JM,17.88,-76.41,32.0,62,20,8.2
610,Albertirsa,HU,47.25,19.61,23.57,39,0,4.6
611,Seoul,KR,37.57,126.98,23.19,69,90,2.1
612,Yenagoa,NG,4.92,6.26,23.67,95,88,4.91
613,Aripuana,BR,-9.17,-60.63,32.47,44,0,1.36
614,Oktyabrskiy,RU,55.61,37.97,20.75,64,0,5.0
615,Martapura,ID,-3.41,114.85,26.0,88,40,1.5
616,Bethanien,NA,-26.5,17.16,19.17,41,8,5.26
617,Pontianak,ID,-0.02,109.34,27.0,88,20,1.5
618,Egvekinot,RU,66.32,-179.17,0.37,77,0,3.91
619,Sabang,ID,1.17,120.82,27.87,100,8,1.06
620,Tygda,RU,53.11,126.33,20.87,53,92,3.41
621,Bontang,ID,0.12,117.47,27.62,97,8,3.76
622,Alvinopolis,BR,-20.11,-43.05,23.17,73,0,2.21
623,Matara,LK,5.95,80.54,23.47,100,92,4.46
624,Port Hedland,AU,-20.31,118.58,16.0,63,0,3.1
625,Upata,VE,8.02,-62.41,23.97,99,92,2.11
626,Ruidoso,US,33.33,-105.67,22.2,68,1,2.6
627,Carutapera,BR,-1.2,-46.02,27.87,89,32,3.51
628,Sayyan,YE,15.17,44.32,25.0,13,20,4.1
629,Spanish Town,JM,18.0,-76.95,32.0,62,20,8.2
630,Aitape,PG,-3.15,142.36,26.52,100,56,1.91
631,Batticaloa,LK,7.71,81.69,28.77,91,24,8.26
632,Bedele,ET,8.46,36.35,18.27,87,88,1.21
633,Yining,CN,29.04,114.56,22.77,100,68,0.86
634,Moche,PE,-8.17,-79.01,18.0,82,90,2.6
635,Guerrero Negro,MX,27.97,-114.04,23.27,62,0,1.56
636,Luganville,VU,-15.51,167.18,25.47,100,48,4.36
637,Zholymbet,KZ,51.74,71.71,24.87,71,0,2.61
638,Sadao,TH,6.63,100.42,27.7,83,40,1.5
639,Naifaru,MV,5.44,73.37,28.97,97,88,7.01
640,Hami,CN,42.84,93.51,25.32,36,32,1.51
641,Xiantao,CN,30.37,113.44,26.12,94,92,1.41
642,Meadow Lake,CA,54.13,-108.44,12.0,87,40,4.1
643,Tupelo,US,34.26,-88.7,24.0,83,90,4.6
644,Nacozari,MX,25.34,-108.26,29.47,61,24,1.61
645,Byron Bay,AU,-28.65,153.62,6.0,93,0,1.0
646,Chauk,MM,20.89,94.82,27.72,72,68,5.96
647,Dingzhou,CN,38.51,115.0,27.0,83,92,1.0
648,Saint-Joseph,RE,-21.37,55.62,22.0,60,0,8.2
649,Navalcarnero,ES,40.29,-4.01,33.0,22,40,2.1
650,Bushehr,IR,28.97,50.84,37.15,60,0,5.1
651,Barranca,PE,-10.75,-77.76,16.12,100,88,1.61
652,Mugumu,TZ,-1.84,34.67,22.92,49,32,1.21
653,Mangan,IN,27.5,88.54,9.57,98,92,0.41
654,Tomigusuku,JP,26.18,127.67,27.32,78,20,3.6
655,Rowlett,US,32.9,-96.56,27.84,74,1,2.21
656,Diglur,IN,18.55,77.6,24.87,79,88,5.71
657,Campbell River,CA,50.02,-125.24,14.03,100,20,1.5
658,Kapuskasing,CA,49.42,-82.43,24.0,57,75,10.8
659,Gorontalo,ID,0.54,123.06,25.37,79,36,2.36
660,Phalodi,IN,27.13,72.36,36.77,32,0,2.76
661,Harbour Breton,CA,47.48,-55.8,12.32,84,44,7.81
662,Winneba,GH,5.35,-0.62,28.0,74,40,7.2
663,Boden,SE,65.83,21.69,22.0,46,0,3.1
664,Yasothon,TH,15.8,104.15,25.0,94,75,2.21
665,Dunmore Town,BS,25.5,-76.65,28.62,100,0,3.56
666,Namie,JP,37.52,140.86,22.37,92,64,2.76
667,Velez-Malaga,ES,36.77,-4.1,32.89,37,0,5.1
668,Brae,GB,60.4,-1.35,13.0,62,48,7.2
669,Samdari,IN,25.81,72.58,31.52,56,36,2.21
670,Kaseda,JP,31.42,130.32,25.72,96,8,6.26
671,Quang Ngai,VN,15.12,108.8,22.27,96,56,0.96
672,Baza,ES,37.49,-2.77,30.27,25,0,0.86
673,Felipe Carrillo Puerto,MX,19.58,-88.05,28.62,81,92,1.66
674,Shiyan,CN,32.65,110.78,24.12,81,92,1.01
675,Batagay,RU,67.65,134.64,20.82,85,0,1.31
676,Madrid,ES,40.42,-3.7,33.0,22,40,2.1
677,Sungaipenuh,ID,-2.08,101.38,20.02,97,76,0.76
678,San Cristobal,EC,-1.02,-79.44,19.82,91,0,0.61
679,Najran,SA,17.54,44.22,38.0,9,40,7.7
680,Abhar,IR,36.14,49.22,32.12,12,0,2.96
681,Miranda,BR,-20.24,-56.38,28.17,53,0,2.41
682,Buritis,BR,-15.62,-46.42,27.67,49,0,2.31
683,Acapulco,MX,16.86,-99.88,28.0,69,75,3.6
684,Sesheke,ZM,-17.48,24.3,21.52,44,20,3.26
685,Cacador,BR,-26.78,-51.02,14.52,96,76,4.01
686,Itoman,JP,26.12,127.67,27.32,78,20,3.6
687,Anju,CN,31.75,113.2,25.27,96,92,1.86
688,Agirish,RU,61.92,63.02,19.47,93,88,1.21
689,Pingxiang,CN,27.63,113.85,23.37,97,64,0.91
690,Cananea,MX,30.98,-110.3,26.0,41,1,2.6
691,Iberia,PE,-11.41,-69.49,28.42,69,32,1.31
692,Kerema,PG,-7.96,145.78,22.27,98,92,0.96
693,Jiamusi,CN,46.81,130.37,18.72,95,92,4.41
694,Calabozo,VE,8.92,-67.43,31.47,61,12,3.66
695,Kharhial,IN,20.28,82.77,24.62,96,88,1.81
696,Erenhot,CN,43.65,111.97,20.62,37,88,5.36
697,Tangping,CN,33.69,105.67,20.77,75,100,0.21
698,Seminole,US,32.72,-102.64,21.78,73,1,2.1
699,Espinosa,BR,-14.92,-42.81,26.62,47,0,3.66
700,Bada,RU,51.39,109.87,10.77,62,92,4.11
701,Wajima,JP,37.4,136.9,22.12,95,68,0.96
702,Corner Brook,CA,48.95,-57.95,17.88,52,40,9.8
703,Roros,NO,62.57,11.38,18.0,48,92,6.7
704,Tevaitoa,PF,-16.78,-151.5,27.07,98,32,3.36
705,Bull Savanna,JM,17.89,-77.59,30.47,53,8,3.51
706,Kardla,EE,58.44,26.57,22.0,60,92,5.7
707,Omboue,GA,-1.57,9.26,23.27,100,20,5.46
708,Caraz,PE,-9.05,-77.81,17.92,30,0,0.66
709,Brecht,BE,51.35,4.64,25.62,31,0,5.7
710,Chernyakhovsk,RU,54.64,21.81,20.52,61,0,6.51
711,Inuvik,CA,68.36,-133.71,14.88,72,75,3.6
712,Benguela,AO,-12.58,13.4,23.87,94,0,2.86
713,Ashtabula,US,41.87,-80.79,21.99,56,1,3.6
714,Nhulunbuy,AU,-12.18,136.78,24.0,78,75,5.1
715,Palu,ID,-0.9,119.87,19.27,96,36,0.51
716,Ano Mera,GR,37.45,25.4,28.99,54,0,7.7
717,Sargans,CH,47.05,9.44,23.65,47,0,2.1
718,Boromo,BF,11.74,-2.93,34.67,60,8,1.66
719,Chimala,TZ,-8.86,34.02,17.27,68,24,3.31
720,Impfondo,CG,1.64,18.07,30.62,64,8,1.41
721,Necochea,AR,-38.55,-58.74,8.87,100,92,4.11
722,Groningen,SR,5.79,-55.48,29.47,62,40,4.1
723,San Rafael,AR,-34.61,-68.33,3.17,78,20,1.96
724,Batangafo,CF,7.3,18.29,26.17,90,64,2.51
725,Sabzevar,IR,36.21,57.68,38.0,12,0,8.2
726,Fort-Shevchenko,KZ,44.51,50.26,28.87,71,0,4.06
727,Busembatia,UG,0.77,33.62,22.57,72,44,3.11
728,Dekar,BW,-21.53,21.93,14.37,75,100,4.31
729,Antequera,PY,-24.09,-57.2,14.92,90,92,3.76
730,Abong Mbang,CM,3.98,13.18,22.87,88,80,1.21
731,Arvin,US,35.21,-118.83,26.36,47,1,2.1
732,Zarya,RU,45.67,39.64,32.37,29,68,2.11
733,Rizhao,CN,35.43,119.46,22.57,97,100,6.06
734,Sambava,MG,-14.27,50.17,24.67,100,32,9.31
735,Zermatt,CH,46.02,7.75,30.0,35,0,7.7
736,Alamosa,US,37.47,-105.87,16.0,67,1,2.1
737,Varberg,SE,57.11,12.25,24.0,50,0,6.2
738,Pereyaslovskaya,RU,45.84,39.02,32.52,29,44,2.36
739,Klyuchi,RU,52.25,79.17,21.42,46,0,4.06
740,Zabol,IR,31.03,61.49,44.0,5,0,7.2
741,Sumbe,AO,-11.2,13.84,24.97,81,0,4.91
742,Hagi,JP,34.43,131.51,24.0,88,75,3.6
743,Mahajanga,MG,-15.72,46.32,30.0,30,20,3.1
744,Arman,RU,59.7,150.17,13.0,93,20,0.51
745,Coro,VE,11.41,-69.67,30.17,64,0,5.11
746,Plyussa,RU,58.42,29.37,18.67,85,48,2.96
747,Sur,OM,22.57,59.53,31.67,83,8,0.31
748,Tessalit,ML,20.2,1.01,41.67,11,8,5.21
749,Semey,KZ,50.41,80.25,22.67,36,0,4.01
750,Qaqortoq,GL,60.72,-46.03,9.0,81,75,4.1
751,Sherbakul,RU,54.63,72.39,26.77,60,48,2.06
752,Bongandanga,CD,1.51,21.07,32.52,42,0,1.01
753,Arica,CL,-18.48,-70.32,13.83,67,90,1.5
754,Palampur,IN,32.11,76.54,4.82,80,20,0.41
755,Kambove,CD,-10.88,26.6,22.77,39,0,3.46
756,Tignere,CM,7.37,12.65,21.67,99,48,1.31
757,Inirida,CO,3.87,-67.92,22.07,100,92,0.86
758,Kibakwe,TZ,-6.71,36.37,19.87,61,0,3.56
759,Pundaguitan,PH,6.37,126.17,28.47,100,48,2.96
760,Burrel,AL,41.61,20.01,28.0,51,20,5.1
761,Igurusi,TZ,-8.83,33.85,15.37,71,0,2.81
762,Acaponeta,MX,22.49,-105.36,27.97,88,76,0.91
763,Anadyr,RU,64.73,177.51,6.0,93,90,5.0
764,Puerto Ayacucho,VE,5.66,-67.62,26.0,88,40,1.5
765,Gizo,SB,-8.1,156.84,26.47,100,80,5.81
766,Namatanai,PG,-3.66,152.44,26.62,100,88,2.21
767,Artigas,UY,-30.4,-56.47,12.72,84,44,7.51
768,Ust-Omchug,RU,61.13,149.63,13.82,78,12,1.06
769,Smiltene,LV,57.42,25.9,20.77,72,68,4.66
770,Bako,ET,5.83,36.63,20.07,69,8,0.76
771,Isla Mujeres,MX,21.23,-86.73,28.0,78,75,3.1
772,Council Bluffs,US,41.26,-95.86,22.73,73,1,4.6
773,Waipawa,NZ,-39.94,176.59,12.62,66,76,6.86
774,Sliven,BG,42.68,26.32,23.82,62,20,1.51
775,Wajid,SO,3.81,43.25,29.17,44,12,7.26
776,Puerto Carreno,CO,6.19,-67.49,26.0,88,40,1.5
777,Ozark,US,37.02,-93.21,23.46,64,1,4.1
778,Coaticook,CA,45.13,-71.8,21.64,53,1,2.06
779,Krasnolesnyy,RU,51.88,39.59,24.0,44,0,8.0
780,Pavlovo,RU,55.97,43.07,24.0,57,40,3.0
781,Pringsewu,ID,-5.36,104.98,25.27,71,8,1.61
782,Flin Flon,CA,54.77,-101.88,15.0,72,75,7.2
783,Machali,CL,-34.18,-70.67,10.77,83,8,0.56
784,Revelstoke,CA,50.99,-118.19,11.0,93,1,0.86
785,Dallas,US,32.78,-96.8,27.87,74,1,2.21
786,Vylkove,UA,45.4,29.58,24.37,78,76,1.56
787,Butembo,CD,0.12,29.29,24.47,45,0,0.96
788,Moosomin,CA,50.14,-101.67,21.52,67,0,2.41
789,Imbituba,BR,-28.24,-48.67,20.0,77,20,5.1
790,Uyemskiy,RU,64.47,40.85,15.0,82,90,5.0
791,La Asuncion,VE,11.03,-63.86,26.37,100,56,4.31
792,Ferma,RU,57.9,56.31,24.0,57,40,1.0
793,Pilar,PH,14.67,120.55,26.51,100,40,1.5
794,Niamey,NE,13.52,2.11,34.0,32,0,3.6
795,Praia da Vitoria,PT,38.73,-27.07,25.0,69,20,4.91
796,Opuwo,NA,-18.06,13.84,23.87,22,0,3.06
797,Pacifica,US,37.61,-122.49,15.51,93,20,3.6
798,Ryazhsk,RU,53.71,40.06,20.52,68,88,5.56
799,Mutare,ZW,-18.97,32.67,15.12,99,92,1.21
800,Yangjiang,CN,21.85,111.96,29.37,100,92,5.86
801,Oudtshoorn,ZA,-33.59,22.2,22.0,29,0,4.1
802,Hervey Bay,AU,-25.3,152.85,14.27,100,0,5.56
803,Tuy Hoa,VN,13.08,109.3,26.17,93,68,2.06
804,Nizhniy Baskunchak,RU,48.22,46.83,32.62,28,48,6.01
805,Skibbereen,IE,51.55,-9.27,23.0,49,20,3.1
806,Mathbaria,BD,22.29,89.96,26.62,98,100,5.26
807,Rayong,TH,12.68,101.28,30.0,66,20,2.1
808,Muisne,EC,0.61,-80.02,25.47,87,56,1.76
809,Teguldet,RU,57.31,88.17,15.22,61,0,2.21
810,Butiama,TZ,-1.77,33.97,25.47,36,68,1.86
811,Deer Lake,CA,49.18,-57.43,21.0,52,40,9.8
812,Lac-Megantic,CA,45.58,-70.88,21.06,56,1,2.1
813,Barth,DE,54.37,12.73,22.0,64,40,4.6
814,Altotonga,MX,19.76,-97.24,19.07,75,24,0.71
815,Kamenka,RU,53.19,44.05,21.02,75,36,3.66
816,Bagdarin,RU,54.44,113.59,10.67,97,92,3.66
817,Fort Portal,UG,0.66,30.28,23.67,48,76,0.11
818,Antigonish,CA,45.62,-61.99,24.0,50,1,5.1
819,Kuching,MY,1.56,110.34,26.0,94,75,2.1
820,Nishihara,JP,35.74,139.53,25.55,88,40,3.1
821,College,US,64.86,-147.8,16.98,67,90,4.46
822,Temir,KZ,49.14,57.13,31.62,28,56,4.66
823,Slave Lake,CA,55.28,-114.77,12.0,81,40,3.6
824,Abha,SA,18.22,42.5,30.09,39,75,6.7
825,Kirovsk,RU,67.62,33.66,16.67,51,0,2.51
826,Clayton,US,36.45,-103.19,20.0,77,1,4.6
827,Juegang,CN,32.31,121.18,26.87,88,32,6.26
828,Poshekhonye,RU,58.5,39.12,19.62,90,48,2.66
829,Kattivakkam,IN,13.22,80.32,33.0,52,40,5.1
830,Bima,ID,-8.45,118.73,21.97,100,44,1.51
831,Port Hawkesbury,CA,45.62,-61.36,24.0,50,1,5.1
832,Juneau,US,58.3,-134.42,12.86,82,90,2.6
833,Bandar-e Lengeh,IR,26.56,54.88,36.0,50,88,6.2
834,Maine-Soroa,NE,13.21,12.02,33.07,69,0,1.76
835,Laje,BR,-13.18,-39.42,24.57,78,20,3.26
836,Aanekoski,FI,62.6,25.73,19.0,63,90,3.1
837,Boysun,UZ,38.2,67.2,24.82,21,0,0.66
838,Maraa,BR,-1.83,-65.37,29.52,78,0,1.66
839,Msanga,TZ,-6.04,36.03,23.47,44,32,5.46
840,Koshurnikovo,RU,54.3,93.39,9.67,64,0,2.76
841,Ormara,PK,25.21,64.64,29.17,90,88,7.36
842,Moree,AU,-29.46,149.84,4.87,93,0,2.51
843,Cape Coast,GH,5.11,-1.24,28.87,74,36,3.86
844,Patti,IN,31.28,74.86,35.52,59,0,3.6
845,Tynda,RU,55.15,124.74,17.72,69,92,2.86
846,Hohhot,CN,40.81,111.65,21.0,64,20,1.0
847,Belyy Yar,RU,53.6,91.39,19.0,45,0,4.0
848,Yamada,JP,36.58,137.08,24.0,94,40,0.5
849,Vanderhoof,CA,54.02,-124.02,12.97,75,0,1.51
850,Yangcun,CN,29.98,118.17,23.77,98,80,0.76
851,Point Pleasant,US,40.08,-74.07,22.88,56,1,2.1
852,Todos Santos,MX,23.45,-110.23,26.59,69,40,0.91
853,Ruteng,ID,-8.61,120.46,22.37,88,0,1.31
854,Lahaina,US,20.87,-156.68,22.7,88,20,6.2
855,Falavarjan,IR,32.56,51.51,35.28,6,20,2.1
856,Galbshtadt,RU,53.23,78.98,20.47,52,0,3.41
857,Rokupr,SL,9.01,-12.95,25.82,100,64,3.76
858,Olavarria,AR,-36.89,-60.32,9.12,100,56,3.66
859,Kisaran,ID,2.98,99.62,23.97,99,48,1.76
860,Camalu,MX,30.85,-116.07,24.77,51,0,0.91
861,Uxbridge,CA,44.11,-79.13,24.0,49,1,2.1
862,Batagay-Alyta,RU,67.8,130.41,18.52,70,0,1.46
863,Panguna,PG,-6.32,155.48,22.97,94,56,1.41
864,Port Lincoln,AU,-34.72,135.86,12.72,100,92,2.46
865,Sagua la Grande,CU,22.81,-80.07,28.0,74,40,3.6
866,Esmeraldas,EC,-1.87,-79.8,23.0,78,90,4.6
867,Tay Ninh,VN,11.3,106.1,23.12,99,92,1.31
868,Vidim,RU,56.41,103.11,11.52,74,92,3.11
869,Tungor,RU,53.39,142.95,13.27,61,0,2.41
870,Nanchong,CN,30.8,106.08,23.62,95,92,3.56
871,Lerwick,GB,60.15,-1.15,13.0,62,56,7.2
872,General Cepeda,MX,25.38,-101.48,20.0,56,75,1.56
